Tahun;Bahan Makanan;Makanan Jadi, Minuman, Rokok, dan Tembakau;Perumahan, Air, Listrik, Gas, dan Bahan Bakar;Sandang;Kesehatan;Pendidikan, Rekreasi, dan Olahraga;Transportasi, Komunikasi, dan Jasa Keuangan;Umum
Agustus;1.75;0.68;0.66;1.81;0.37;1.36;0.95;1.12
Juli;5.46;1.55;0.44;-0.09;0.4;0.69;9.6;3.29
Juni;1.17;0.67;0.21;-0.29;0.23;0.04;3.8;1.03
Mei;-0.83;0.35;0.75;-1.22;0.23;0.06;0.05;-0.03
April;-0.8;0.3;0.41;-1.13;0.22;0.15;0.1;-0.1
Maret;2.04;0.4;0.21;-0.7;0.24;0.12;0.19;0.63
Februari;2.08;0.47;0.82;-0.59;0.56;0.19;0.08;0.75
Januari;3.39;0.46;0.56;0.25;0.29;0.05;-0.28;1.03
2012;5.68;6.11;3.35;4.67;2.91;4.21;2.2;4.3
Desember;1.59;0.29;0.17;0.24;0.18;0.05;0.26;0.54
November;-0.13;0.2;0.15;-0.1;0.21;0.06;0.23;0.07
Oktober;-0.43;0.38;0.42;0.94;0.25;0.21;-0.02;0.16
September;-0.92;0.57;0.35;1.47;0.14;1.07;-0.8;0.01
Agustus;1.48;0.67;0.26;0.86;0.24;1.7;1.5;0.95
Juli;1.68;0.89;0.16;0.18;0.42;0.56;0.31;0.7
Juni;1.57;0.48;0.36;0.39;0.21;0.11;0.03;0.62
Mei;-0.15;0.4;0.18;-0.22;0.18;0.02;0.07;0.07
April;0.12;0.62;0.24;-0.46;0.23;0.06;0.21;0.21
Maret;-0.33;0.46;0.2;0.15;0.16;0.07;0.1;0.07
Februari;-0.73;0.34;0.27;1.22;0.15;0.08;0.06;0.05
Januari;1.85;0.65;0.54;-0.08;0.51;0.15;0.23;0.76
2011;3.64;4.51;3.47;7.57;4.26;5.16;1.92;3.79
Desember;1.62;0.5;0.28;0.2;0.17;0.07;0.14;0.57
November;0.59;0.2;0.22;1.36;0.17;0.04;0.13;0.34
Oktober;-0.35;0.26;0.2;-1.26;0.26;0.3;-0.41;-0.12
September;-0.09;0.48;0.26;0.97;0.22;0.54;0.18;0.27
Agustus;1.07;0.46;0.33;3.07;0.26;2.14;0.8;0.93
Juli;1.84;0.42;0.19;0.62;0.27;0.97;0.17;0.67
Juni;1.27;0.41;0.3;0.57;0.41;0.18;0.15;0.55
Mei;-0.28;0.22;0.25;0.64;0.5;0.03;0.14;0.12
April;-1.9;0.2;0.21;0.75;0.38;0.08;0.07;-0.31
Maret;-1.94;0.32;0.29;0.38;0.38;0.17;0.08;-0.32
Februari;-0.33;0.47;0.4;-0.08;0.69;0.13;0.15;0.13
Januari;2.21;0.49;0.48;0.15;0.47;0.42;0.31;0.89
2010;15.64;6.96;4.08;6.51;2.19;3.29;2.69;6.96
Desember;2.81;0.36;0.21;1.08;0.16;0.07;0.25;0.92
November;1.49;0.46;0.25;0.89;0.09;0.08;0.01;0.6
Oktober;-0.85;0.48;0.36;1.73;0.24;0.44;-0.57;0.06
September;0.44;0.52;0.25;1.08;0.23;0.26;0.57;0.44
Agustus;0.47;0.67;1.59;0.06;0.27;1.27;0.36;0.76
Juli;4.69;0.65;0.26;-0.09;0.27;0.86;1.51;1.57
